full_name,age,birthday,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Aaron Cresswell,30,629683200,Premier League,2016/2017,Defender,West Ham United,2117,940,1177,England,26,11,13,0,0,0,2,0,2,0,0,7,5,2,33,17,16,4,1,0.09,0.09,0,0,0,0,1.4,64,81,529,1059,0.17,283,156,95,26
Aaron Lennon,33,545526000,Premier League,2016/2017,Midfielder,Everton,509,302,207,England,11,4,2,0,0,0,1,0,1,0,0,4,2,2,4,2,2,0,0,0.18,0.18,0,0,0,0,0.71,127,46,0,509,0,316,70,-1,19
Aaron Ramsdale,22,895100400,Premier League,2016/2017,Goalkeeper,AFC Bournemouth,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Aaron Ramsey,29,662169600,Premier League,2016/2017,Midfielder,Arsenal,1229,518,711,Wales,23,6,7,1,1,0,4,0,4,0,0,8,6,2,19,6,13,3,0,0.37,0.29,0.07,0.17,0,1229,1.39,65,53,410,307,0.22,188,21,-1,13
Aaron Wan-Bissaka,22,880502400,Premier League,2016/2017,Midfielder,Crystal Palace,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abdoulaye Doucouré,27,725846400,Premier League,2016/2017,Midfielder,Watford,1358,707,651,France,20,7,7,1,1,0,0,0,0,0,0,4,4,0,31,13,18,4,0,0.07,0,0.07,0.13,0,1358,2.05,44,68,340,0,0.27,190,394,-1,14
Abel Mathías Hernández Platero,30,650070000,Premier League,2016/2017,Forward,Hull City,1427,815,612,Uruguay,24,10,6,4,3,1,3,3,0,0,0,4,2,2,21,9,12,0,0,0.44,0.19,0.25,0.33,0.15,357,1.32,68,59,0,476,0,69,61,-1,2
Adam Clayton,31,600739200,Premier League,2016/2017,Midfielder,Middlesbrough,2806,1528,1278,England,34,18,14,0,0,0,2,2,0,0,0,10,7,3,42,18,24,10,0,0.06,0.06,0,0,0,0,1.35,67,83,281,1403,0.32,328,207,-1,23
Adam David Lallana,32,579222000,Premier League,2016/2017,Midfielder,Liverpool,2349,1149,1200,England,31,13,14,8,5,3,7,5,2,0,0,9,5,4,31,11,20,3,0,0.57,0.27,0.31,0.39,0.23,294,1.19,76,76,783,336,0.11,51,30,-1,4
Adam Federici,35,475977600,Premier League,2016/2017,Goalkeeper,AFC Bournemouth,180,0,180,Australia,2,0,2,0,0,0,0,0,0,0,0,1,0,1,2,0,2,1,0,0,0,0,0,0,0,1,90,90,180,0,0.5,-1,-1,-1,19
