team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
Arsenal FC,Arsenal,2020/2021,England,7,3,4,0,4,2,2,0,0,0,3,1,2,1.71,2,1.5,9,6,9,9,9,7,2,16,7,9,4,5,3,4,1,1,70,68,72,90,90,90,2,0,2,3,2,1,2,1,1,5,2,3,30,18,12,11,3,8,52,61,44,58,27,31,27,13,14,31,14,17,53,27,26,3,1,2,4,1,3,-1,0,-1,1,0,1,4,3,1,2,0,2,1,1,1,2.29,2.33,2.25,1.29,1.33,1.25,1,1,1,1,0.67,1.25,0.43,0.33,0.5,0.57,0.33,0.75,7,4,4,1,0,0,3,2,2,0,0,0,4,2,2,1,0,0,0,3,3,6,7,7,0,1,1,3,3,3,0,2,2,3,4,4,100,57,57,14,0,0,100,67,67,0,0,0,100,50,50,25,0,0,0,43,43,86,100,100,0,33,33,100,100,100,0,50,50,75,100,100,4,2,1,1,1,0,3,1,1,57,29,14,33,33,0,75,25,25,57,67,50,0,29,0,50,43,67,25,29,33,25,71,67,75,4,2,2,57,67,50,4,2,2,57,67,50,2,1,1,29,33,25,14,0,25,57,100,25,29,0,50,5.00,6.00,4.00,1.57,1,2.00,67,67,67,67,50,50,0,0,71,1,0,2,0,1,1,3,0,1,0,0,2,1,1,0,0,1,2
Tottenham Hotspur FC,Tottenham Hotspur,2020/2021,England,7,4,3,0,4,1,3,2,2,0,1,1,0,2,1.25,3,2,8,1,2,18,9,9,27,12,15,6,12,6,3,0,9,35,60,23,70,60,90,1,0,1,5,3,2,1,1,0,4,3,1,29,18,11,8,4,4,57,56,57,86,43,43,46,26,20,40,17,23,75,41,34,10,5,5,2,0,2,8,5,3,4,3,1,3,1,2,0,0,0,2.14,2.5,1.67,3.86,3,5,2.57,1.5,4,1.29,1.5,1,1.71,1.25,2.33,1.43,1.25,1.67,0.29,0,0.67,7,5,4,3,3,3,4,3,2,1,1,1,3,2,2,2,2,2,0,2,3,4,4,4,0,1,2,3,3,3,0,1,1,1,1,1,100,71,57,43,43,43,100,75,50,25,25,25,100,67,67,67,67,67,0,29,43,57,57,57,0,25,50,75,75,75,0,33,33,33,33,33,5,3,2,3,1,1,2,2,1,71,43,29,75,25,25,67,67,33,57,25,100,-29,14,0,33,71,75,67,14,25,0,57,75,33,5,4,1,71,100,33,2,1,1,29,25,33,2,0,2,29,0,67,57,75,33,43,25,67,0,0,0,4.83,6.00,3.67,1.14,1,1.33,67,67,50,33,17,17,17,17,157,4,2,2,1,2,1,1,4,1,1,0,0,1,0,2,0,0,5
Manchester City FC,Manchester City,2020/2021,England,6,2,4,1,3,1,2,2,0,2,1,1,0,1.83,1.5,2,10,14,4,10,9,8,1,17,8,9,3,6,5,3,-2,3,60,60,60,68,36,120,2,1,1,4,1,3,0,0,0,5,2,3,35,9,26,9,5,4,63,65,61,84,31,53,32,12,20,52,19,33,48,23,25,6,2,4,2,1,1,4,1,3,4,1,3,1,1,0,1,0,1,2.17,2,2.25,2.83,4,2.25,1.5,1.5,1.5,1.33,2.5,0.75,1.33,1.5,1.25,1,1,1,0.33,0.5,0.25,6,4,2,2,1,1,2,1,1,1,1,1,4,3,1,1,0,0,0,2,4,4,5,5,0,1,1,1,1,1,0,1,3,3,4,4,100,67,33,33,17,17,100,50,50,50,50,50,100,75,25,25,0,0,0,33,67,67,83,83,0,50,50,50,50,50,0,25,75,75,100,100,6,2,0,2,1,0,4,1,0,100,33,0,100,50,0,100,25,0,50,50,50,-44,33,50,25,67,50,75,0,0,0,83,100,75,4,1,3,67,50,75,1,0,1,17,0,25,1,1,0,17,50,0,67,50,75,17,50,0,17,0,25,7.00,4.50,8.67,1.8,2.5,1.33,80,80,80,80,60,60,20,20,67,1,2,2,1,0,1,0,0,2,0,1,0,1,0,3,0,2,1
Leicester City FC,Leicester City,2020/2021,England,6,3,3,0,4,1,3,0,0,0,2,2,0,2,1,3,8,13,2,8,13,8,5,21,10,11,4,9,6,2,-2,7,41,68,30,68,45,134,2,0,2,2,1,1,2,2,0,2,0,2,34,23,11,16,7,9,54,62,46,60,30,30,31,11,20,29,19,10,67,41,26,2,1,1,4,3,1,-2,-2,0,0,0,0,5,2,3,1,1,0,0.83,0.67,1,3.5,3.33,3.67,2.17,1.33,3,1.33,2,0.67,1,1.33,0.67,0.33,0.33,0.33,0.67,1,0.33,6,4,4,2,2,2,3,2,2,1,1,1,3,2,2,1,1,1,0,2,2,4,4,4,0,1,1,2,2,2,0,1,1,2,2,2,100,67,67,33,33,33,100,67,67,33,33,33,100,67,67,33,33,33,0,33,33,67,67,67,0,33,33,67,67,67,0,33,33,67,67,67,3,3,0,2,2,0,1,1,0,50,50,0,67,67,0,33,33,0,67,33,100,-45,33,0,67,33,33,33,33,67,0,33,0,67,3,1,2,50,33,67,4,2,2,67,67,67,2,1,1,33,33,33,0,0,0,83,67,100,17,33,0,5.67,7.67,3.67,2.67,2.33,3.00,83,67,67,50,33,33,17,17,67,0,1,0,1,1,3,1,4,2,2,1,0,1,0,0,0,1,3
West Bromwich Albion FC,West Bromwich Albion,2020/2021,England,6,3,3,0,0,0,0,3,2,1,3,1,2,0.5,0.67,0.33,17,15,19,17,6,14,-8,20,9,11,3,3,6,8,-3,-5,90,90,90,39,45,34,1,1,0,3,1,2,3,2,1,2,1,1,17,13,4,7,4,3,39,38,40,56,31,25,25,11,14,31,20,11,64,35,29,4,3,1,4,0,4,0,3,-3,1,1,0,2,2,0,3,0,3,0.83,1.67,0,3.33,3,3.67,1,1,1,2.33,2,2.67,1.33,1,1.67,0.67,1,0.33,0.67,0,1.33,5,5,3,2,2,2,2,2,2,1,1,1,3,3,1,1,1,1,1,1,3,4,4,4,1,1,1,2,2,2,0,0,2,2,2,2,83,83,50,33,33,33,67,67,67,33,33,33,100,100,33,33,33,33,17,17,50,67,67,67,33,33,33,67,67,67,0,0,67,67,67,67,4,2,2,1,1,1,3,1,1,67,33,33,33,33,33,100,33,33,0,0,0,7,17,33,0,50,33,67,50,67,33,33,33,33,3,3,0,50,100,0,4,2,2,67,67,67,1,0,1,17,0,33,17,33,0,33,67,0,50,0,100,2.83,4.33,1.33,1.17,1.33,1.00,83,67,50,50,33,33,0,0,100,2,0,2,0,1,0,0,0,1,0,0,0,2,2,3,4,1,2
Crystal Palace FC,Crystal Palace,2020/2021,England,7,3,4,0,3,1,2,1,1,0,3,1,2,1.43,1.33,1.5,13,12,12,13,8,11,-3,19,6,13,3,5,3,8,0,-3,79,90,72,57,90,45,1,1,0,4,2,2,2,0,2,4,2,2,34,16,18,14,8,6,36,35,37,57,18,39,26,8,18,31,10,21,68,37,31,5,3,2,4,2,2,1,1,0,4,2,2,1,0,1,2,1,1,1.86,2,1.75,2.71,2,3.25,1.14,1,1.25,1.57,1,2,1.29,1.67,1,0.71,1,0.5,0.57,0.67,0.5,7,6,4,2,0,0,3,2,1,0,0,0,4,4,3,2,0,0,0,1,3,5,7,7,0,1,2,3,3,3,0,0,1,2,4,4,100,86,57,29,0,0,100,67,33,0,0,0,100,100,75,50,0,0,0,14,43,71,100,100,0,33,67,100,100,100,0,0,25,50,100,100,6,2,1,3,1,1,3,1,0,86,29,14,100,33,33,75,25,0,43,33,50,12,14,33,0,57,67,50,29,0,50,57,67,50,5,2,3,71,67,75,2,0,2,29,0,50,1,1,0,14,33,0,57,67,50,14,0,25,29,33,25,4.86,5.33,4.50,2,2.67,1.50,100,86,71,71,56,56,43,0,57,2,2,1,0,0,0,1,1,1,1,1,1,1,1,0,1,2,3
Everton FC,Everton,2020/2021,England,7,3,4,0,4,2,2,1,1,0,2,0,2,1.86,2.33,1.5,3,2,10,3,15,11,4,26,17,9,11,4,6,5,5,-1,42,25,90,57,45,72,1,0,1,5,3,2,1,0,1,3,1,2,30,16,14,15,6,9,51,52,51,68,38,30,34,21,13,34,17,17,70,35,35,7,5,2,6,3,3,1,2,-1,3,2,1,3,1,2,1,0,1,1.71,2.33,1.25,3.71,5.67,2.25,2.14,3.67,1,1.57,2,1.25,1.86,2.67,1.25,1,1.67,0.5,0.86,1,0.75,7,6,5,3,2,2,3,3,3,3,2,2,4,3,2,0,0,0,0,1,2,4,5,5,0,0,0,0,1,1,0,1,2,4,4,4,100,86,71,43,29,29,100,100,100,100,67,67,100,75,50,0,0,0,0,14,29,57,71,71,0,0,0,0,33,33,0,25,50,100,100,100,5,5,3,3,3,2,2,2,1,71,71,43,100,100,67,50,50,25,57,67,50,22,14,0,25,71,100,50,14,0,25,43,33,50,2,0,2,29,0,50,3,0,3,43,0,75,4,3,1,57,100,25,43,67,25,43,33,50,14,0,25,5.00,5.33,4.67,2.14,2,2.25,100,83,67,50,50,50,33,0,129,1,2,0,2,2,3,3,0,2,2,0,2,1,2,1,0,1,2
Burnley FC,Burnley,2020/2021,England,6,3,3,1,0,0,0,1,0,1,5,3,2,0.17,0,0.33,20,19,18,20,3,12,-9,15,5,10,0,3,5,7,-5,-4,180,0,90,45,54,39,1,0,1,2,0,2,4,3,1,1,0,1,22,12,10,11,4,7,44,46,43,59,23,36,25,8,17,34,15,19,47,17,30,1,0,1,4,2,2,-3,-2,-1,0,0,0,3,1,2,3,2,1,0.5,0.33,0.67,2.5,1.67,3.33,0.5,0,1,2,1.67,2.33,0.83,0.67,1,0.17,0,0.33,0.67,0.67,0.67,5,3,3,2,1,1,3,1,1,0,0,0,2,2,2,2,1,1,1,3,3,4,5,5,0,2,2,3,3,3,1,1,1,1,2,2,83,50,50,33,17,17,100,33,33,0,0,0,67,67,67,67,33,33,17,50,50,67,83,83,0,67,67,100,100,100,33,33,33,33,67,67,4,1,0,2,0,0,2,1,0,67,17,0,67,0,0,67,33,0,0,0,0,-42,17,0,33,33,0,67,67,100,33,17,0,33,2,1,1,33,33,33,5,3,2,83,100,67,1,0,1,17,0,33,0,0,0,50,33,67,50,67,33,4.40,6.00,3.33,1.83,1.33,2.33,100,80,80,60,20,20,20,20,50,1,0,0,0,0,0,1,1,0,1,2,1,0,1,0,4,3,0
Southampton FC,Southampton,2020/2021,England,7,3,4,0,4,2,2,1,0,1,2,1,1,1.86,2,1.75,4,5,5,4,14,12,2,26,11,15,6,8,5,7,1,1,45,45,45,53,54,51,3,2,1,3,1,2,1,0,1,5,3,2,19,12,7,11,7,4,55,56,55,74,44,30,38,23,15,36,21,15,70,45,25,9,4,5,4,1,3,5,3,2,4,2,2,1,1,0,2,0,2,1.86,2.33,1.5,3.71,3.67,3.75,2,2,2,1.71,1.67,1.75,1.86,1.67,2,1.29,1.33,1.25,0.57,0.33,0.75,7,5,3,3,3,3,3,3,1,1,1,1,4,2,2,2,2,2,0,2,4,4,4,4,0,0,2,2,2,2,0,2,2,2,2,2,100,71,43,43,43,43,100,100,33,33,33,33,100,50,50,50,50,50,0,29,57,57,57,57,0,0,67,67,67,67,0,50,50,50,50,50,7,4,2,3,2,0,4,2,2,100,57,29,100,67,0,100,50,50,57,67,50,1,43,67,25,43,33,50,14,0,25,71,100,50,4,2,2,57,67,50,1,0,1,14,0,25,2,1,1,29,33,25,57,67,50,14,33,0,29,0,50,3.17,4.00,2.33,1.57,2.33,1.00,67,67,50,33,0,0,0,0,71,1,1,1,3,3,2,1,0,2,0,2,1,0,2,1,2,1,3
Manchester United FC,Manchester United,2020/2021,England,6,4,2,1,2,0,2,1,1,0,3,3,0,1.17,0.25,3,15,18,6,15,9,13,-4,22,12,10,2,7,10,3,-8,4,60,180,26,41,36,60,1,1,0,4,2,2,2,2,0,1,1,0,28,20,8,15,12,3,55,54,56,60,30,30,31,13,18,29,17,12,62,35,27,3,1,2,7,5,2,-4,-4,0,0,0,0,4,2,2,2,2,0,0.67,0.5,1,3.67,3,5,1.5,0.5,3.5,2.17,2.5,1.5,1.67,1.5,2,0.5,0.25,1,1.17,1.25,1,5,4,4,4,3,1,3,2,2,2,1,1,2,2,2,2,2,0,1,2,2,2,3,5,1,2,2,2,3,3,0,0,0,0,0,2,83,67,67,67,50,17,75,50,50,50,25,25,100,100,100,100,100,0,17,33,33,33,50,83,25,50,50,50,75,75,0,0,0,0,0,100,4,3,1,2,1,1,2,2,0,67,50,17,50,25,25,100,100,0,33,0,100,-41,17,25,0,67,50,100,33,50,0,17,25,0,2,2,0,33,50,0,3,3,0,50,75,0,3,1,2,50,25,100,0,0,0,67,50,100,33,50,0,5.60,6.67,4.00,2.5,3,1.50,80,60,40,40,40,40,20,20,100,1,0,1,0,1,1,0,1,4,4,0,1,2,0,1,1,2,2
